account_idx,true_label,xgb_proba,anomaly_score,risk_score,risk_tier
0,0,0.00027489856001920997,0.03369764945147846,0.006959448738311059,Green
1,0,0.006190246995538473,0.15106173432284964,0.0351645444610007,Green
2,0,0.0881257377564907,0.03355769668854113,0.07721212954290078,Green
3,0,0.000771062693092972,0.09507165076153795,0.019631180306781962,Green
4,0,0.00023865644761826842,0.04057026424685723,0.00830497800746606,Green
5,0,0.001070855208672583,0.09496409264829409,0.01984950269659688,Green
6,0,0.00014881397946737708,0.07085028718706161,0.01428910862098622,Green
7,0,0.09559040665626525,0.04183988352405576,0.08484030202982336,Green
8,0,0.0872789442539215,0.0752731403015523,0.08487778346344765,Green
9,0,0.002869928954169154,0.08268016058642687,0.018831975280620694,Green
10,0,9.00188839295879e-05,0.06289927762082909,0.012651870631309485,Green
11,0,0.0016045009950175883,0.061021006095129234,0.013487802015039914,Green
12,0,0.004296669736504555,0.09454335796034825,0.02234600738127329,Green
13,0,0.00039472318021580575,0.07045382467931673,0.014406543480035987,Green
14,0,0.07874760031700134,0.10152216909761791,0.08330251407312467,Green
15,0,8.30759308882989e-05,0.09509460364286697,0.01908538147328403,Green
16,0,0.000254211196443066,0.07566780095690001,0.015336929148534453,Green
17,0,0.001006544253323227,0.017326678253353857,0.004270571053329352,Green
18,0,0.0005896233022212982,0.08877883583796843,0.018227465809370718,Green
19,0,0.0008744149468839169,0.07450187359918863,0.015599906677344856,Green
20,0,0.0005192273005377501,0.1261981809663211,0.025655018033694413,Green
21,0,0.0003292837063781917,0.08916134583068519,0.018095696131239587,Green
22,0,0.0008632916491478681,0.10533028019319214,0.021756689357956716,Green
23,0,0.012972642667591572,0.09692557447793201,0.02976322902965966,Green
24,0,0.001169549929909408,0.08210942436921702,0.017357524817770927,Green
25,0,0.0015518380794674158,0.05093986123587267,0.011429442710748465,Green
26,0,0.008926519425585866,0.06529285067855232,0.020199785676179156,Green
27,0,0.001458484586328268,0.0888455407470337,0.01893589581846935,Green
28,0,0.000942013249732554,0.033536945682338004,0.0074609997362536425,Green
29,0,0.00023105567670427264,0.04298193085231927,0.00878123071182727,Green
30,0,0.022377080097794533,0.023948804918936705,0.022691425062022968,Green
31,0,0.00029290405218489467,0.13017599354719636,0.02626952195118718,Green
32,0,0.043531975522637364,0.07524000844817816,0.04987358210774552,Green
33,0,0.000892063812352717,0.16126440753002164,0.03296653255588649,Green
34,0,0.0003324844699818641,0.058792999503618146,0.012024587476709116,Green
35,0,0.0009927976527251304,0.029603665006855136,0.00671497112355113,Green
36,0,0.00012431650975486264,0.03295916582238609,0.006691286372281106,Green
37,0,0.01929590031504631,0.07590963857956128,0.0306186479679493,Green
38,0,0.0060595346614718435,0.030286414926982922,0.010904910714574058,Green
39,0,7.414334395434707e-05,0.07001183064198306,0.014061680803560088,Green
40,0,0.004258348932489752,0.07640881736497207,0.018688442618986213,Green
41,0,0.000398218265036121,0.10110036031766119,0.020538646675561132,Green
42,0,0.001841359178069979,0.07839153353209945,0.01715139404887587,Green
43,0,0.0009997475892305375,0.09784589915259437,0.0203689779019033,Green
44,0,0.0009030888439156116,0.09521100879272858,0.0197646728336782,Green
45,0,0.0003012536035384983,0.10031501531937598,0.02030400594670599,Green
46,0,0.0003180323226843029,0.3042139246691618,0.06109721079197979,Green
47,0,0.0003234714444261044,0.29035886288040186,0.05833054973162124,Green
48,0,0.0002753510372713208,0.4480732671775073,0.0898349342653185,Green
49,0,0.023728246241807936,0.15937220987834344,0.05085703896911503,Green
50,0,0.00035996115184389055,0.086584759890039,0.017604920899482908,Green
51,0,0.00030570557573810224,0.20044279499312584,0.04033312345921564,Green
52,0,0.00024401244590990248,0.04850024415563477,0.009895258787854874,Green
53,0,0.00018992348923347891,0.17171699981213387,0.03449533875381355,Green
54,0,0.0007075968896970153,0.0882997398844587,0.01822602548864935,Green
55,0,0.00016979544016066937,0.11353393405314703,0.022842623162757935,Green
56,0,0.019924483820796014,0.13358966599279734,0.04265752025519627,Green
57,0,0.00012092237884644418,0.1736442985703448,0.034825597617146105,Green
58,0,0.0016972218756563962,0.06483862971241763,0.014325503443008642,Green
59,0,0.000338357052532956,0.09526499411670454,0.01932368446536727,Green
60,0,0.0005555373732931912,0.07884243242315452,0.01621291638326545,Green
61,0,0.002281608665362001,0.021150334858213916,0.006055353903932383,Green
62,0,0.006069457530975342,0.15082010037247076,0.03501958609927442,Green
63,0,0.0001553780253743753,0.06340625799554613,0.012805554019408721,Green
64,0,0.00027217248571105297,0.04797418947311792,0.009812575883192424,Green
65,0,0.11735736578702927,0.09667167179539135,0.11322022698870168,Green
66,0,0.007994163036346435,0.030333828613667596,0.012462096151810667,Green
67,0,0.14510913453996183,0.11623632303144285,0.13933457223825801,Green
68,0,0.00971954339183867,0.13301685720363354,0.03437900615419764,Green
69,0,0.00022106475080363452,0.04033321601947546,0.008243495004537998,Green
70,0,0.0023850963450968267,0.10685758424712159,0.023279593925501774,Green
71,0,0.0002580878732260317,0.16829548351728824,0.033865567002038466,Green
72,0,0.0006882184941787272,0.09247669065660825,0.01904591292666463,Green
73,0,0.003444877080619335,0.07269833340305125,0.017295568345105716,Green
74,0,0.0004448060528375208,0.12681697379296727,0.025719239600863465,Green
75,0,0.0018277312163263559,0.08462781438578079,0.01838774785021724,Green
76,0,0.0003668732766527683,0.1283395130729351,0.025961401235909228,Green
77,0,0.0005464226589538157,0.05963015961451091,0.012363170050065231,Green
78,0,0.006315533723682165,0.06396537988629236,0.017845502956204202,Green
79,0,0.000762721081264317,0.1749459601829627,0.03559936890160399,Green
80,0,0.0016105081886053085,0.04949567132603097,0.01118754081609044,Green
81,0,0.0009026611456647516,0.09219440525317103,0.019161009967166003,Green
82,0,0.0004095137963304297,0.1251113733397942,0.025349885705023174,Green
83,0,0.0014137011952698232,0.11106019997148021,0.023343000950511894,Green
84,0,0.0033057821681722996,0.06546981930913666,0.01573858959636517,Green
85,0,0.0008739963872358204,0.1749563212635841,0.03569046136250547,Green
86,0,0.0008632024750113486,0.04794828886996508,0.010280219754002092,Green
87,0,0.007334170117974281,0.08684357049310064,0.023236050192999548,Green
88,0,0.00261039393953979,0.1046340796607089,0.023015131083773607,Green
89,0,0.00036240406916476786,0.052212483891168546,0.010732420033565521,Green
90,0,0.0011132691521197557,0.1681219139697201,0.034514998115639815,Green
91,0,0.007690404262393713,0.07616829909541688,0.021385983228998345,Green
92,0,0.00030372076435014606,0.22889187335755368,0.04602135128299084,Green
93,0,4.501940420595929e-05,0.1726973069579154,0.03457547691494784,Green
94,0,0.0026247002650052306,0.013446668088829251,0.004789093829770034,Green
95,0,0.0005055134883150458,0.10969242310876896,0.022342895412405826,Green
96,0,0.001939620659686625,0.0664007046268349,0.014831837453116278,Green
97,0,0.0012038936314638705,0.027402532745505963,0.006443621454272287,Green
98,0,0.0001466208865167573,0.06244523464323927,0.012606343637861258,Green
99,0,0.0006010887445881963,0.0790136445580874,0.016283599907288036,Green
100,0,0.0006059569190256297,0.09092159819434176,0.018669085174088853,Green
101,0,0.013810849003493787,0.06419155207627768,0.023886989618050563,Green
102,0,0.01654997654259205,0.10004331308056832,0.033248643850187304,Green
